Cost: 2817
         7024225 function calls (7024133 primitive calls) in 3.226 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.392    1.392    3.197    3.197 Day15.py:31(get_cost_of_best_path)
  1035411    0.681    0.000    1.044    0.000 Day15.py:21(get_risk_of_position)
  2082937    0.401    0.000    0.706    0.000 <string>:1(<lambda>)
  2082941    0.305    0.000    0.305    0.000 {built-in method __new__ of type object at 0x00007FFC97C7A920}
   259382    0.160    0.000    0.160    0.000 {built-in method _heapq.heappop}
   259382    0.076    0.000    0.235    0.000 __init__.py:51(get)
   259386    0.072    0.000    0.111    0.000 __init__.py:43(put)
   518770    0.043    0.000    0.043    0.000 {built-in method builtins.abs}
   259386    0.039    0.000    0.039    0.000 {built-in method _heapq.heappush}
   259382    0.033    0.000    0.033    0.000 __init__.py:39(empty)
        1    0.009    0.009    3.223    3.223 Day15.py:67(main)
        1    0.004    0.004    0.008    0.008 Day15.py:7(get_grid)
       81    0.003    0.000    0.003    0.000 {built-in method nt.stat}
        9    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        2    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
      221    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        9    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
    42/40    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       45    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
        1    0.000    0.000    3.226    3.226 Day15.py:1(<module>)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      723    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      478    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       11    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      682    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
        9    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:950(get_code)
  679/667    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      6/5    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
       13    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       49    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
     13/3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      233    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     12/4    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      449    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
     13/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:664(_load_unlocked)
      249    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       12    0.000    0.000    0.000    0.000 ntpath.py:77(join)
       69    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      260    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        3    0.000    0.000    0.001    0.000 gettext.py:542(find)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       11    0.000    0.000    0.000    0.000 re.py:288(_compile)
        6    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
       89    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       67    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       11    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
     13/5    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        3    0.000    0.000    0.000    0.000 argparse.py:1305(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      9/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap_external>:877(exec_module)
        3    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
        3    0.000    0.000    0.007    0.002 argparse.py:1387(add_argument)
     13/3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        4    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       88    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      5/4    0.000    0.000    0.000    0.000 sre_parse.py:435(_parse_sub)
        3    0.000    0.000    0.000    0.000 shutil.py:1334(get_terminal_size)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 sre_compile.py:759(compile)
       37    0.000    0.000    0.000    0.000 argparse.py:1358(register)
        4    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
